twitter_id,Content
1418360206103298050,"No corona, have not been infected. Refusing the vaccination (I do have some other health issues) because I am using the alternative&gt; Vit D3, Zinc, Vit C ... https://t.co/lHgpUDlob3"
1418360161723322372,everytime i see swifties talk about the 1 year anniversary of folklore i’m like “oh great it’s been a year since i got corona!” bc i got sick just before folklore came out lol
1418360027849633793,"@mapsofworld Wuhan is called "" The epicentre of the Corona Virus Pandemic "" 

Nothing else"
1418359935247732737,@VaticanNews Catholic Charities should only hire Catholics. There is no accountability theUnderground Railroad was dishonesty A Safe Home for Domestic Violence Not runaway Slaves ! FBI chief stole my 1974 New Rochelle Police acceptance Mail &amp; Doing Corona by undocumented in HHC contracts
1418359682331299849,we just move to florida and we all get corona virus. love it🙃
1418359629457756167,@wildethingy This is the only corona conspiracy theory I will buy into.
1418359490181668866,@WysWyg_Protogen Tell em if they rather have corona in the grass or sitting nicely on the road boom
1418359328428285953,Here I am once again driving into corona
1418359009451651081,@traumaadventure @VBlair10 @perlmutations Mine has gone back to normal and has dropped all of it's  Corona measures except for masks.
1418358872763342850,@iamtsanand @BurAli786 @GoelRahul0599 @ANI Sure now it’s a state issue but when celebrating defeat of corona’s first wave it was central govt who took credit. Even a few months ago Amit Shah was crediting Center for bringing second wave under control. Can we please use same address for credit and blame certificates
1418358378045247495,The Corona bros trying to hold on to power is next level
1418358304389140480,@Neupane1Binod @Jitpur Go corona go
1418358236688777220,"#Chodavaram 23/7/21 Onwards

#Neragadu LK Poorna

First Film To Release after Corona 2nd Wave https://t.co/SVPr6Jo4LN"
1418358117134385153,@NFL  To all Players who refuse to get vaxed-absent a lImiting med  condition- Bye ! Dont let the Door hit ur selfish Corona Ass on the way out!!
1418357761474240520,They dropping new versions of Corona like Jordan releases 😂😂
1418357609556500483,Ratatouille cassoulet with Royal Corona beans https://t.co/Y9ClJwKNzv
1418357577881047044,@SpitchNzawumbi Also to add that cultural shock is real. Learning  people's accent and understanding it. Them learning yours. It's whole new challenge that you never think about when you are preparing to emigrate. Corona has made things difficult. Borders have been closed since March 2020...
1418357433689198593,"❗️Kares Back to School Fundraiser ❗️
This year we will be expanding to a week long fundraising event at various locations throughout the Corona/Norco area. School supplies and monetary donations are greatly appreciated. https://t.co/J0RW4FvsZg"
1418357387887616003,@ThomGR11 @pck525 Doesn’t negate the “don’t want to” part. At my work a “majority” of the people that got vaxxed only did it because of x and x more often than not wasnt “fear of dying of Corona” For context I’m the ONLY at my job Unvaxxed now. From the sandbox I been rocking different tho 😂
1418357366496632834,@Nonoandno14 @1290Tyler @wfteamjordan @DeAndreHopkins lol its not. Coronavirus-19 is the strand of virus currently. coronavirus is the name given for the type of virus that has a distinct crown(corona) shaped top.
1418357327414059009,@MailOnline If corona was a fish 😅
1418356995875241985,"Today the executive meeting of @Sewaforall was held in which the strategy was prepared regarding the 3rd wave of Corona &amp; the coming flood in Bihar @Khanjun11133296 @massudrzaakhan @AlamTauquirJNU @tarkishorepd
@ShakeelkhanINC @itariqanwar https://t.co/BTOhnJeH0j"
1418356942402113538,@ProFootballTalk Bye ! Dont let the Door hit ur Corona Ass on the way out!!
1418356935003414532,Would y’all rather catch corona or get the vaccine and catch corona ?🤔
1418356794548707330,My mom actually isn't 100% opposed to this. I may be onto something here. Corona time? https://t.co/9bPZUMsD1d
1418356714026409987,Corona ek scam hai by WHO or Bill gates ki
1418356664592261123,Corona ek scam hai by WHO or Bill gates
1418356602479030272,@sabpie_ Sad that Umplify has corona rn
1418356451462967305,"it came for corona beer in 2020, then it came for delta airlines in 2021"
1418356398191218693,@QuanDBtalk Bye ! Dont let the Door hit ur Corona Ass on the way out!!
1418356391664885762,I’ll have a corona hold the virus https://t.co/KIqa24RcRC
1418356334936743936,"Random Cat doesn't trust anyone who believes men can have periods, get pregnant, give birth and breastfeed, and that corona virus vaccines work."
1418356307212468225,"@MarleCordeiro Absolute fookin nummpty:
COVID-19 is a disease caused by a new strain of coronavirus. 'CO' stands for corona, 'VI' for virus, and 'D' for disease. Formerly, this disease was referred to as '2019 novel coronavirus' or '2019-nCoV.'"
1418356279966257153,I got corona 😩
1418355999035969539,@MetreSteven I just saw a news that based on a ~.1% positivity rate of corona they’re shutting everything down
1418355992098639872,"@POTUS @JoeBiden we Iraqi college students live under a catastrophe of infections in the Corona virus, where the number of injuries reached nearly 9000 cases per day and deaths. We also ask you to intervene in saving us and converting the final exams to electronic
#Biden_save_the_students_iraq"
1418355880374902788,"all my friends have delta corona. the “unhealthiest” one is still standing corona-free. ✌🏽 don’t worry, they’re fine."
1418355603404206091,Corona doing bob risky dance
1418355550975373312,Or MSM just ignoring that it comes &amp; goes &amp; never reports on Corona source stories ever again.
1418355505634979840,"Corona chain broken on the seventh day, a patient infected who is also missing https://t.co/guSxwfliGa"
1418355368963584004,.@coronaextrausa creates a new “fishing tournament” for plastic to clean the ocean. Corona claims it is the first in the beverage industry to become ‘net-zero plastic’ – recovering more plastic from the environment than it generates. via @jaredmelzer https://t.co/fXpLpg5EA0
1418355329365004289,"Brahmastra shooting along with shamshera took 2018 and 2019.... 2020 and 2021 corona legayi .... Only little portions r there to shoot....

2 yrs is not bad for high budget, heavy VFX, grand scale experimental film."
1418355058702356487,@Bharati_28 @GabbbarSingh And how writing article is helping state or corona impacted people? What difference it made then?
1418355040314662920,"@kyle_W87 @CeriAnne65 @ben_rowson7 @SofaJockeyUK @sainsburys I do in work when dealing with Influenza patients, I did when we had swine flu cases too.
But Covid is twice as contagious and this is why the WHO instigated the pandemic warnings as it is a Novel strain of the corona virus."
1418355016910393345,@Avaluna50 Oh whT happened to you?? Symptoms of corona...
1418354912547594248,@discoball2000 Corona suppression for 2 percent(max) of total tested posted population is very important
1418354847720493057,"@AartiTikoo We scream when our own Govt snoops on us,  what Bhakti. Will buy petrol even at 500, and no one died of Corona in India, forget lack of O2. We are being maligned due to our spectacular victory over corona."
1418354708989857793,"if doherty doesn’t work out, in january we should look into jesus corona. has a lot of european experience and would make a lot of new fans which means more revenue for us."
1418354682175496196,Corona Breakthrough: Israeli Researchers Discover Existing Drugs Could Beat Virus https://t.co/9dYGJ9CU5X
1418354584284717057,@miyeonsheart Congratulations 🎊 i want to become a nurse but I failed my exams this year ;( im going to try next year again sighhh FCK CORONA
1418354485223731204,"@icy464 @jemelehill Fully vaxxed who got covid, some have died. The mortality rate is the same as before we had vaccines. Please do not play a numbers game with your life, get a post vax blood test to see if you have B and T cells primed to detect and defeat corona. And keep the mask on!"
1418354410971828225,"In Japan🇯🇵, We hold The Olympic Opening Ceremony today I hope it ends safely!But, However, I'm not exciting about Olympic Game.Because of this Corona era.  Who could have imagined about the no audience Olympics? But ....
Please enjoy to watch the TV the Olympics Game, everyone"
1418354375353896962,@anettec333 @lasydaisymoo @_MissieBee Try putting Corona virus into Google (on phone). I get national news reports AND local Corona related Twitter messages when I do that
1418354363291025410,"Now Hiring: Assistant Director, Fiscal Services | Alvord Unified School District: Corona, California | https://t.co/2B7I02WzF6 #jobs"
1418354357007917057,@RobbiePoirier10 I would sub
1418354337508700169,Folks claim the vaccine goin kill us but the reason corona on rise again and reason more people dying again because yall don’t want take shot I’m big Chillen
1418354255627390978,"Medical Call @ 1000 BLK CORONA AVE,MEDFORD | Unit:  | Time: 16:36:03"
