twitter_id,Content
1410004544373788673,"Recuerda, si tienes problemas de conexión, informa a tu tutora  para que con gusto te brindemos apoyo"".
#SiempreMásParaLosDemás 
#SoyArrupe 
#SomosArrupe2021 
#Educacion
#EducacionDeCalidad 
#Innovacion 
#Calidad 
#COVID19 
#QuedateEnCasaYa"
1410002639195185154,"¡La #Vacunación contra #COVID19 continúa! 

Si tienes entre 40 y 49 años de edad, regístrate en ➡️ https://t.co/6LKEEGRUeF 

#MeCuido #PorAmorALaVida https://t.co/airDOJhEmS"
1409983425746931713,"Si tienes 𝟰𝟬 𝗮𝗻̃𝗼𝘀 𝗼 𝗺𝗮́𝘀; o bien, estás 𝗲𝗺𝗯𝗮𝗿𝗮𝘇𝗮𝗱𝗮 y vives en #Puebla capital, todavía estás a tiempo de acudir a vacunarte para prevenir la #COVID19 y salvaguardar tu salud y vida. Este 𝟮𝟵 𝗱𝗲 𝗷𝘂𝗻𝗶𝗼 es el 𝗨́𝗟𝗧𝗜𝗠𝗢 𝗗𝗜́𝗔 https://t.co/89ov7VAt3o"
1409980488383598609,"1️⃣4️⃣ días❕❗
Ese es el intervalo de tiempo entre dosis de vacunas INFLUENZA o COVID19.
Con ello aseguras una correcta protección de ambas vacunas. 
Si tienes dudas o consultas visita
▶️Influenza https://t.co/ZnmLqWvPrY
▶️COVID19 https://t.co/AEPkjS2GuF https://t.co/VinrHjAVsi"
1409966357513445380,"El cambio constante de clima puede hacerte sentir mal, tener secreción nasal, dolores de cabeza… ¿sabe si tienes #COVID19, #alergias o #gripe? ¡Esta guía fácil de seguir lo ayudará a determinar los próximos pasos a seguir! https://t.co/aECh5YaoLr"
1409964891256115209,"Si tienes dudas sobre la #Vacunación contra #COVID19, llama al 📞 55 3684 0370. 

Estamos para ayudarte. 

Encuentra más información en ➡️ https://t.co/8eu3lX8QXh

#MeCuido #PorAmorALaVida https://t.co/OmuFHkDBIF"
1409957591824936974,"¿Te puedes vacunar 🤔 contra otras enfermedades si tienes #COVID19?🦠

Las personas con COVID-19, tengan o no síntomas 😷🤧, deben esperar a recuperarse completamente o a completar su cuarentena antes de vacunarse. Esto ayudará a prevenir la propagación de la COVID-19. ✅ https://t.co/Ghv9spkGkl"
1409953970764791808,"Sí tienes duda de quienes se pueden vacunar en está jornada de vacunación contra COVID19, checa este video 💉❤👇😉 https://t.co/GYunS102X4"
1409951337064849415,"Estamos listos 😄 y los estamos esperando ¡VACÚNATE! 💉❤ no lo dejes pasar, si tienes de 40-49 años acude a las sedes y vacúnate contra el COVID19. https://t.co/wdmEyveF5w"
1409945593745653765,"Si tienes síntomas sospechosos de #COVID19, acude a realizarte una 🧪prueba gratuita de detección de SARS-CoV-2 en alguno de los 16 Macro Quioscos en la CDMX.

⏰ Lunes a sábado, desde las 9 horas.

😷Antes de acudir, revisa la siguiente información: 👇🏽

https://t.co/62lcLXDWLS"
1409936948618313733,"💉Si resides en La Gomera, tienes más de 20 años y no has recibido la #vacuna contra la #COVID19 puedes acudir sin cita este miércoles al Centro de Visitantes de San Sebastián y este jueves al Puerto de Vueltas de Valle Gran Rey para vacunarte

➡️Más info: https://t.co/AaYveo3RYA https://t.co/zygtiuYx9J"
1409934693064192002,"Si estás #Embarazada, tienes 18 años o más y quieres vacunarte contra #COVID19, recuerda que puedes hacerlo a partir del tercer mes de embarazo. 

No bajes la guardia y #EsperaTuMomento.

Infórmate en ➡️ https://t.co/8fzJJKqkN3 

#MeCuido #PorAmorALaVida https://t.co/ZJu2xsq5Bj"
1409904503126646790,"Recuerda seguir las medidas frente al COVID-19:

No viajes 🚷 si tienes síntomas compatibles con la enfermedad 😰🤒. 
Estar cada vez más cerca depende también de tu colaboración. 

Gracias. #Civismo #Covid19 https://t.co/pYzHymzyyL"
1409904497178988550,"Para evitar el contagio del #COVID19 🦠debemos ser #prudentes.Si tienes dificultades para respirar, fiebre o cualquier otro síntoma, ¡busca atención médica inmediatamente! 🏥
Desde #ACNUR,recomendamos seguir los consejos de
de la @opsoms y de las autoridades de salud locales. https://t.co/YWMsWq6vhE"
