twitter_id,Content
1539397530546479104,"@frampagna @MattOneMouse Ma sei  scemo?
Questo è un membro del KKK
E non uno che si sta difendendo dal Covid."
1539397371435655169,"@AStramezzi @sferriam Il long covid non esiste, c'è uno studio importante che lo ha dimostrato! Sono gli eventi avversi del ""vaccino""!!!"
1539397355090366464,"@Cartabellotta @Antonio_Caramia E mio figlio dopo due anni di mascherina ffp3 a scuola, e mille attenzioni fuori, ha abbassato un attimo la guardia alla festa di fine anno, e si è preso il covid! Farà la maturità da solo il 6-7 e 9 luglio…😔😭"
1539396499876069377,POROCDDII SE HO ANCORA IL COVID IO VI GIURO CHE ESCO DI TESTA
1539396402450681857,"@MattOneMouse Confessi che invece sono sì vax, sì mask, si Covid, sì 6 milioni, sì tutto.
I segni vanno via subito, il ""vaccino"" rimane in corpo. Si affida a chi fa narrazioni false. Se intuba è perché non sa curare diversamente, se fa morire dovrebbe pagare una penale, altro che scudo penale."
1539396061059506176,"Salerno, a 64 anni Vincenzo si presenta agli esami di maturità: «L’ho promesso a mia moglie, morta di Covid» | https://t.co/kneAGI2w5B https://t.co/5S7xnmJKOM"
1539395670855012353,"@daves80 @IMBili_ @sanchez_strada ⤵️ e lo stop per Covid successivo al suo arrivo ha peggiorato la situazione.
Stagione 20/21 ripresa senza preparazione, ha ripreso un “minimo” di gamba tra Gen/Feb 21.
Ciò detto al top della condizione è forse l’unico player sovrapponibile a Brozo per kilometraggio
Piaccia o meno"
1539395295506735104,"@azpersempre @stanzaselvaggia Quindi mi dica, le ospedalizzazioni per covid vengono pagate come quelle per l'influenza? Chiedo per comprovata ignoranza, in quanto ignorante non so capire il senso di ospedalizzare gente con il 37.5 di temperatura corporea Qualche scienziato mi spiegherà se è per soldi o per."
1539395012907114498,Covid Basilicata: 539 nuovi positivi nelle ultime 24 ore – Basilicata24 https://t.co/K950Q6cAGy
1539393614123499520,T-shirt sportiva da uomo n° 19 – Covid https://t.co/fot1wWxlMK
1539391495920398336,@sashaagalluccio Mi spiace. Chi non si è vaccinato ha avuto Covid e varianti e l’immunità naturale nella scienza (seria) non prevede alcun vaccino. Quindi ora la colpa diamola alla sperimentale in corso che è stava vana. #lockdownsubito ? Ma basta!!!
1539390673639587840,"M5S: Di Maio, `vera e propria escalation contro alcuni di noi` #Europeidicalcio #Olimpiadi #GuerraRussiaUcraina #OmicidioElenaDelPozzo #Covid @istsupsan #22giugno https://t.co/IdUW2n9Bzw"
1539390673475993602,Biden celebra i vaccini COVID per i bambini sotto i 5 anni #biden #celebra #vaccini #covid @istsupsan #bambini #22giugno https://t.co/lRFVSO9mus
1539390536444002305,@ugoladoro Io uguale ma senza covid
1539390395968376835,I miei amici sono venuti sotto casa a salutarci per sapere come stavamo con il covid😭😭😭😭
1539390373981831169,109 anni dalla morte di uno 100 anni dalla nascita del fratello del cugino di montale 892 anni dalla morte di dante il covid la guerra il dio porco https://t.co/7Ht5A8QSO9
1539390348551651328,"@klaud_io Pensavo: ""ci chiudono"", ancora. Ma con 62 morti non lo faranno. C'è troppa gente disoccupata causa Covid, devono fare girare l'economia... Qualcosa devono sacrificare."
1539390112156499968,"80 anni, fino a due giorni fa aveva il covid ed ha fatto uno show della madonna, poi la gente normale di vent’anni sta male mesi e mesi 🥰🤣"
1539389665043546112,"Riassumiamo le recenti segnalazioni fatteci da Google, per argomento (è illuminante!):
-i lockdown sono propedeutici al controllo dell'inflazione
-il dollaro forte e l'inflazione, uno strumento per terminare l'€
-ecco perchè la terza dose del vaccino COVID è essenziale
1/2"
1539389518402490368,"@HuffPostItalia ma se i novax sono morti e i vivi sono tutti vaccinati, come fanno ad avere il long covid? O il vaccino è inutile e dannnoso e crea danni e siete bugiardi fino al midollo, oppure non è ver e siete bugiardi fino al midollo. In tutti i casi siete infami!"
1539389467680821251,Che carini quelli delle superiori che si cagano addosso per gli esami. Avrei tanto voluto provare la stessa sensazione per gli scritti anche io se solo la mia annata non fosse stata la prima a farli col covid di merda diocane. Comunque good luck ragazzi.
1539389391105302530,pensando a quando sarà la mia notte prima degli esami e disperandomi perché con il covid non ho fatto neanche un anno normale di scuola
1539389123089383424,io in due anni e mezzo non ho mai preso il covid nonostante i 45890754 contatti con dei positivi e se non lo prendo adesso con mio cugino positivo che bacio e abbraccio da quando sono arrivata qui a milano sono davvero indistruttibile
1539389017254420481,@stanzaselvaggia Vi siete sparati 3 dosi e vi prendete il covid ogni 2 per 3! Vi dovremmo rinchiudere in casa fossimo incivili come voi lo siete stati!
1539388911461490707,In Italia 62.704 casi Covid e 62 morti https://t.co/rItzOHSiPx #agi
1539388744243064833,"Però mi dispiace non essere riuscita a fare nemmeno una foto coi prof perché covid e pioveva pure quel giorno, ovviamente appena sono arrivata a casa ha smesso 🤡"
1539388651859492865,@stefi960 @MassimoMario1 @albatelari2 @Sparecchiavo78 @NunziaNunzia5 Quindi questo ti autorizza a massacrare la sanità e occupare risorse che potrebbero salvare vite che non possono decidere di prevenire una malattia con un vaccino? Sai quanti malati di cancro non sono potuti andare in ospedale durante il Covid? Ora che si può fare qualcosa voi
1539388299898499073,Per non parlare del mio fantastico discorso di 15 minuti sul covid per poi sentirmi fare la domanda (dal presidente) “sapresti parlarmi de covid?” Ok che non te ne frega un cazzo però amo dai un minimo di finzione
1539388235289329664,"Che io sappia, nessuno ha mai dichiarato che il vaccino immunizza totalmente.
Forse i positivi al Covid saranno tutti i circa 60 milioni di italiani.
Si è cercato solo di ridurre le ospedalizzazioni con tubi fino giù in gola e metri di terreno cimiteriale....non altro,"
1539388147527823364,"@ScimmieA @sashaagalluccio E nel 2021, La maggior parte dei morti per covid nei primi sei mesi, quando erano poco  i vaccinati e la minor parte negli ultimi sei mesi, quando in Italia c'erano i vaccini e in Bulgaria e Romania, abbiamo avuto la mortalità più alta e con pochi vaccinati."
1539387733940088832,LE PASÉ EL COVID A MI HERMANA Y A MI PADRE JAJSJDJDJJD NOOOO
1539387615211929600,"Covid, arriva E4Shield: il dispositivo che rende inattivo il virus negli ambienti chiusi https://t.co/wiY07VgqZz"
1539386932278579200,@stanzaselvaggia Tra qualche ora iniziano gli Esami di Stato con mascherina solo raccomandata e non più obbligatoria. Dopo anni di massima e faticosa attenzione a scuola e con un allarmante rialzo dei casi #covid questa decisione politica appare una beffa #maturita2022
1539386494959472641,ho il covid non l'avevo mai preso🤠
1539386166390267905,"@BonomiAllegra @Cambiacasacca Era generica anche la legge 1741 in materia di covid, votata favorevolmente, in Senato, da tutti, a marzo 2020 La legge del governo Conte che ha creato tutte lo scempio al quale abbiamo assistito e stiamo assistendo. Meglio approfondire prima le conseguenze di certi provvedimenti"
1539386024673026050,"@Antonio_Caramia @FranceskoNew @aliberti_p @IzzoEdo @dianacalibana @MissOnorott Critico papers come li critico per il mio lavoro. Ho fatto da reviewer a una 10ina di paper negli ultimi 6 mesi e se trovo flaws riporto. Idem per quelli sul covid, come questo o quello su science. Se poi queste critiche si scontrano con narrazioni varie Pace."
1539385853759442944,ho gia preparato tutti i collegamenti per traccia covid spaccherei https://t.co/xc4dmTEJzm
1539385788378624002,"Quanto avrei voluto passare la mia notte prima degli esami con i miei compagni,invece causa covid l'ho passata camminando tutta la notte nel balcone per l'ansia 💔😂
#maturita2022"
1539385632493027329,Ecco sei infografiche che illustrano la nuova spinta Covid in Francia https://t.co/UDH2OoZ4zs
1539383813394006016,"Maturità 2022, il toto-tracce della prima prova: Verga, Falcone e guerra in Ucraina. L'incognita è sul Covid. https://t.co/KjwztfiLi0"
1539383493939036160,"raga fatevi qualcosa su covid e guerra in ucraina se volete fare attualità uscirà sicuramente
#maturita2022 #tiziaparty"
1539383134541733890,@95Indeciso @itsgiulia127 @sgizzi89 @aivalf_18 Quanti decessi Covid ha avuto in famiglia?
1539382867402301441,"@LaraZando @Dott_ssaFb @FLunatiche @alexio747 Conosci non inoculati morti o anche solo ammalati? Io ho perso amici e conoscenti dopo inoculazione e stranamente non conosco nessuno che è morto x covid, ma magari è solo un caso e non c'è correlazione che vi piace tanto questa parola"
1539382081205280768,"@prismaticsilvia Per Italiano non ho studiato nulla se non Leopardi ma credo di non scegliere proprio la tipologia A. Se ci mettono un tema sull'Ucraina faccio quello (o Covid). Per matematica PANICO, non ricordo nulla. Per gli orali sono il 27 e devo studiare ancora tutto, sto MORENDO"
1539381911709265921,"@Darionico23 @barbarab1974 Journal Of Korean Medical Science: ""CASI DI MIELITE TRASVERSA ACUTA ASSOCIATA AL VACCINO AD MRNA PER LA COVID-19"" https://t.co/3hIWqPcsMq"
1539381668187975680,"@Bonnie_369 /volte COVID, il cui organismo ha quindi già l'abitudine a rispondere naturalmente alla malattia, divrebbe sottoporsi a una terapia m-RNA che non ha certezza di essere efficace contro nuove varianti e (o più efficace della propria risposta immunitaria) rischiando effetti avversi?"
1539381571224055816,"@Darionico23 @barbarab1974 Virology Journal: ""Lo studio ha mostrato che la funzione immunitaria tra le persone vaccinate 8 mesi dopo la somministrazione di due dosi di vaccino COVID-19 era inferiore a quella tra le persone non vaccinate"". https://t.co/uvgfbRhmVd"
1539381324959690753,"@Darionico23 @barbarab1974 Ansa: ""È stata rilevata una corrispondenza fra la somministrazione dei vaccini anti Covid-19 e l'aumento del 25% delle chiamate per problemi cardiovascolari, da parte di giovani e adulti fra 16 e 39 anni"". https://t.co/jgg4yJBHxg"
1539381281376686080,"Covid-19, boom di nuovi casi nelle Valli Etrusche https://t.co/66PjbxgUnt"
1539381280797859845,"Covid-19, all'Elba altri 22 nuovi casi positivi https://t.co/TVSoyEZlwb"
1539381280093229063,"Covid: Toscana, altri 3.812 nuovi casi e 3 morti https://t.co/XeeBKzhfL4"
1539381208240599043,"@Darionico23 @barbarab1974 ""1.287.595 LESIONI RIPORTATE DOPO I VACCINI COVID, ""SOPRAFFATTI"" I PROGRAMMI DI RISARCIMENTO PER LESIONI DA VACCINO"". https://t.co/oMxSWB0k5E"
1539381203517726721,"#covid, #omicron 5 fa impennare la curva dei positivi .
 Leggi su:
https://t.co/rlVSXEwjb5"
1539380715632173057,"Assumersi la responsabilità di alterare quel fragile equilibrio tipico di certe categorie di pazienti? pazienti che dovrebbero essere isolati (per covid) e quindi fare eventualmente esami di laboratorio per valutare gli effetti del paxlovid su fegato, reni, coagulazione 5/"
