twitter_id,Content
1478487962799448066,@Eta66006090 @MeIntotheBlue @chedisagio @DjokerNole Qualsiasi effetto collaterale del vaccino è 10 volte inferiore allo stesso effetto se prendi il covid. Ma sarebbe troppo difficile spiegarti cosa sia un'analisi rischi/benefici. Sei tu quello intelligente qui... L'illuminato. Buona serata
1478456739796242441,@DiegoASR86 D’accordo con te tranne che per l’ultima frase. Il covid lo prendi in maniera lieve se ti vaccini. Altrimenti rischi la terapia intensiva e la morte.
1478452180910755841,"@pakocautiero @MarinaMoro19 @lonewolf8719 @MediasetTgcom24 Ma se prendi il covid da un vaccinato, i sintomi del vaccinato saranno lievi e di conseguenza anche i tuoi saranno lievi e così a continuare contagio dopo contagio"
1478431246996983808,"@swamilee @Laf_cadio @ardigiorgio Sì, certo. Però se prendi la home del Corriere adesso, trovi in sequenza otto notizie sul Covid, dai dati odierni fino alla positività di dj Savino e dei Reali d'Olanda."
1478426058382839808,"Ricapitolando: se il Covid lo prendi in Azienda è infortunio sul lavoro, 
se lo becchi a casa è infortunio domestico e se lo prendi sull’autobus è infortunio stradale! 
Mon Dieu ! 🤦🤦🤦"
1478418288774463493,"distanziamento né igienizzazione delle mani.Son coglioni uguali ai primi.
Se tieni il distanziamento,igienizzi le mani e la Mascherina la Indossi Correttamente,non ti prendi nemmeno il virus influenzale.
Chi si vaccina,non diventa immune, bensì evita gli effetti gravi del Covid!"
1478387480315449346,@MicheleN967 Si è merda allo stato puro ma se poi prendi il Covid lo devi rifiutare o non utilizzare altrimenti è solo paura del virus
1478372788373237765,"@Mauro79975591 @longagnani ah frescone, perché se mi vaccino io tu non lo prendi? Tipo come i 25 vaccinati nella base Polare belga (16 con covid), forse non facevano abbastanza lockdown? Tipo quelli sulla nave Costa Crociere ieri a Genova? Tipo i dati UK ultimi 4-5 mesi? Dati USA Israele idem?"
1478369010819424261,"@CalabriaTw Ma se fai il vaccino e prendi comunque il Covid e oltretutto questa variante è più leggera come dicono, a cosa serve?"
1478353060829310983,"@nemesirl ma quello assolutamente no, ma perlomeno se prendi il covid con il vaccino non finisci in terapia intensiva"
1478344597768126466,"Il fatto che noi universitari siamo abbandonati a noi stessi è una cosa veramente vergognosa. Dopo due anni ancora non si sa, a pochi giorni dalla sessione, se ti prendi il covid se puoi fare l'esame online o meno"
1478342021643440129,"@Viola_mg @Fabius_Power @ladydd69 @borghi_claudio Non è che ci sia molto da capire. Se sei non vaccinata e prendi il Covid e più facile che entri in terapia intensiva e ci lasci le penne. Per farti capire, è come con le cinture di sicurezza. Se non le metti è molto più facile che ti fai male se fai un incidente."
1478320085479661569,Lo sai che la Tachipirina 500 se ne prendi due c'hai il covid.
1478303073546166272,@tabixx82 Se ti prendi il Covid poi non chiamare l'ambulanza se stai male cogliona.
