twitter_id,Content
1398781344197529601,"@lubieawokadoo nie no sluchaj nie wolno, covid i te sprawy 🙄 Musimy przestrzegać obostrzen jesli iksiarze mają mieć trase w 2022 😔✋"
1398756691257315333,@nemi21797348 @JarekRams @Padwe3 O tym pisałem. Jeśli terminowość drugiej dawki nie będzie przestrzegana to chwilowo fatalnym będzie wersja covid ale...nie nowy szczep tylko wariant. To nie jest HIV choć podobny. I tak...warto by było izolować zaszczepionych.
1398750891394715657,"@bfialek Wiek poniżej 40 lat również chroni niemal w 100% przed ciężkim przebiegiem. 

Z danych @MZ_GOV_PL wynika ze jeśli już szczepiony zachoruje na Covid to ma 5-7% szans na śmierć."
1398742982686347271,"Oto wnioski farmaceutów wykonujących szczepienia COVID. Zebraliśmy wszystkie informacje dla pacjentów i punktów szczepień w formie plakatu i naklejek. Zapraszamy do kontaktu jeśli uznacie, nasze opracowania za przydatne. @MZ_GOV_PL @a_niedzielski @grypa_opzg https://t.co/JrZUKAYXzJ"
1398741359113220099,Coraz więcej z Nas farmaceutów wykonuje szczepienia na COVID 19. Dlatego zebraliśmy nasze wszystkie doświadcznia w jeden plik / ulotkę dla pacjenta. Jeśli potrzebujesz materiały edukacyjne dla pacjentów pisz na zzpf@zzpf.org.pl @ZzpfPl wyślemy je do ciebie! https://t.co/EMmfXDNnFH
1398726673777008642,@bujarski @Michali49393358 @a_niedzielski @michaldworczyk Już tłumaczę. Wg. Pana Niedzielskiego nie istnieje żadna inna choroba jak covid. Więc jeśli można tak sprawnie przeprowadzić akcje szczepień to co stoi na przeszkodzie żeby w identyczny sposób zorganizować badania pod kątem chorób nowotworowych?
1398724830963421189,"@w_sumlinski Jeśli covid to broń biologiczna, to dlaczego przez całą pandemie pan ją bagatelizuje?"
1398709064000020481,- Jeśli szczepienia przeciwko gruźlicy są obowiązkowe to dlaczego nie przeciw COVID-19? Koronawirus jest znacznie groźniejszy dla ludzkości - mówił @KSzuldrzynski https://t.co/68kuACTPQP
1398702109609054209,Taki krótki komunikat. Jeśli ktoś z obserwujących mnie jest za przymusem szczepień na covid 19 to proszę wypierdzielać. Won. Dziękuję.
1398692560743305217,"""Ogłosili, że nie będą brać pod uwagę w ogóle dowodów na posiadanie naturalnej odporności kiedy każdy naukowiec na świecie wie że jest ona lepsza niż ta ze szczepionek. Jeśli to dotyczy TYLKO covid to dlaczego ludzie którzy go przeszli nie są wolni od obostrzeń. To własnie..."
1398677885246914569,"@Firarafaa @Adi__Rzeszow Gorzej, jeśli za leczenie na covid będą musieli płacić ci, którzy odmawiają szczepienia."
1398664435749773312,"@szczepimysie A ja mam w dupie szczepienia na Covid, jeśli was to interesuje ☺️"
1398645108292165632,"@klimasara_j Czyli tak: przed szczepieniami wszyscy umierali na Covid, a jeśli ktoś umrze po szczepionce, to na pewno nie w wyniku powikłan po przyjęciu dawki?"
1398627844876640258,"@Czarek11646359 @janeksk @azukowska01 @PKontrowersje @PremierRP @szczepimysie Wszystkie dotychczas przeprowadzone badania nad wszystkimi szczepionkami na CoViD.

Jeśli twierdzisz, że jakieś pokazały związek z niepłodnością, albo jeśli istnieje potencjalny mechanizm powodowania niepłodności przez którąś szczepionek, proszę o stosowny link."
1398626560756879362,"próbuję nie tworzyć scenariuszy tego dnia, ale wiecie jakie to trudne?!1! zobaczyć idolkę, kogoś, kogo ogromnie się ceni w ważnym dla ciebie dniu. nadal w to nie wierzę i jeśli nikt (rząd) ani nic (covid, reżim) nie stanie mi na drodze, to będzie jeden z lepszych dni w moim życiu https://t.co/aDNJZaORD8"
1398582667050983424,"@icantbeworried @bfialek Nie napisałem, że ruch i dieta są ważniejsze. Choć faktem jest, że spora część populacji nie zachorowała na covid, a jeśli zachorowała, to przeszła łagodnie, dzięki własnemu układowi immunologicznemu."
1398571181708656646,@jaronoik @Michali49393358 Logika foliarzy. Jeśli to nie Covid to przed czym go nie uchroniła?
1398523495118671872,"@Laurunia3 Amerykańska agencja Centra Kontroli i Prewencji Chorób (CDC), potwierdziła, że dzieci i młodzież przechodzą chorobę określaną jako „Covid-19”, a mającą być spowodowaną przez wirus SARS-CoV-2, w wyjątkowo łagodny sposób, jeśli w ogóle jest ona w tej grupie wiekowej zauważalna."
1398523228264542210,"Amerykańska agencja Centra Kontroli i Prewencji Chorób (CDC), potwierdziła, że dzieci i młodzież przechodzą chorobę określaną jako „Covid-19”, a mającą być spowodowaną przez wirus SARS-CoV-2, w wyjątkowo łagodny sposób, jeśli w ogóle jest ona w tej grupie wiekowej zauważalna."
